T,K,F,Market_IV,Exp_Date
0.021917808219178082,689.0,684.304602716805,0.011633644782932377,2025-12-18
0.021917808219178082,690.0,684.304602716805,0.013733446270217062,2025-12-18
0.021917808219178082,691.0,684.304602716805,0.015788386274774982,2025-12-18
0.021917808219178082,692.0,684.304602716805,0.017806141479611126,2025-12-18
0.021917808219178082,693.0,684.304602716805,0.01979217973038749,2025-12-18
0.021917808219178082,694.0,684.304602716805,0.02175057993354918,2025-12-18
0.021917808219178082,695.0,684.304602716805,0.02368449363062211,2025-12-18
0.021917808219178082,696.0,684.304602716805,0.025596424009363395,2025-12-18
0.021917808219178082,697.0,684.304602716805,0.02748840410328868,2025-12-18
0.021917808219178082,698.0,684.304602716805,0.0293621157368132,2025-12-18
0.021917808219178082,699.0,684.304602716805,0.03121897183978496,2025-12-18
0.021917808219178082,700.0,684.304602716805,0.033060175143563,2025-12-18
0.021917808219178082,701.0,684.304602716805,0.03488676108131878,2025-12-18
0.021917808219178082,702.0,684.304602716805,0.03669962994752948,2025-12-18
0.021917808219178082,703.0,684.304602716805,0.03849957130234193,2025-12-18
0.021917808219178082,704.0,684.304602716805,0.04028728296437428,2025-12-18
0.021917808219178082,705.0,684.304602716805,0.042063385914682505,2025-12-18
0.021917808219178082,706.0,684.304602716805,0.043828436135374474,2025-12-18
0.021917808219178082,707.0,684.304602716805,0.045582934220427244,2025-12-18
0.021917808219178082,708.0,684.304602716805,0.04732733316439165,2025-12-18
0.021917808219178082,709.0,684.304602716805,0.04906204474414568,2025-12-18
0.021917808219178082,710.0,684.304602716805,0.050787444954356914,2025-12-18
0.021917808219178082,713.0,684.304602716805,0.05591108735729577,2025-12-18
0.021917808219178082,715.0,684.304602716805,0.05928592925696367,2025-12-18
0.021917808219178082,730.0,684.304602716805,0.0837274540738675,2025-12-18
0.021917808219178082,745.0,684.304602716805,0.10694075848740166,2025-12-18
0.021917808219178082,750.0,684.304602716805,0.1144542873162116,2025-12-18
0.021917808219178082,765.0,684.304602716805,0.1364136315861025,2025-12-18
0.021917808219178082,840.0,684.304602716805,0.23612293661321188,2025-12-18
0.021917808219178082,845.0,684.304602716805,0.24228536234882087,2025-12-18
0.021917808219178082,850.0,684.304602716805,0.24839584277205584,2025-12-18
0.021917808219178082,855.0,684.304602716805,0.25445553415529526,2025-12-18
0.021917808219178082,865.0,684.304602716805,0.2664269030768273,2025-12-18
0.024657534246575342,690.0,684.3889742385651,0.01209714189416351,2025-12-19
0.024657534246575342,691.0,684.3889742385651,0.014059824510298712,2025-12-19
0.024657534246575342,692.0,684.3889742385651,0.01599843933350894,2025-12-19
0.024657534246575342,693.0,684.3889742385651,0.017916200136196988,2025-12-19
0.024657534246575342,694.0,684.3889742385651,0.01981557540787256,2025-12-19
0.024657534246575342,695.0,684.3889742385651,0.021698445971278582,2025-12-19
0.024657534246575342,696.0,684.3889742385651,0.023566338701079086,2025-12-19
0.024657534246575342,697.0,684.3889742385651,0.02542057592293611,2025-12-19
0.024657534246575342,698.0,684.3889742385651,0.02726200589087599,2025-12-19
0.024657534246575342,699.0,684.3889742385651,0.029091663570067275,2025-12-19
0.024657534246575342,700.0,684.3889742385651,0.0309101845018626,2025-12-19
0.024657534246575342,701.0,684.3889742385651,0.032718245262457035,2025-12-19
0.024657534246575342,702.0,684.3889742385651,0.03451653366495068,2025-12-19
0.024657534246575342,703.0,684.3889742385651,0.03630546726018903,2025-12-19
0.024657534246575342,704.0,684.3889742385651,0.03808534502303043,2025-12-19
0.024657534246575342,705.0,684.3889742385651,0.03985687583679098,2025-12-19
0.024657534246575342,706.0,684.3889742385651,0.04161995809414515,2025-12-19
0.024657534246575342,707.0,684.3889742385651,0.04337539021167491,2025-12-19
0.024657534246575342,708.0,684.3889742385651,0.045123097061067395,2025-12-19
0.024657534246575342,709.0,684.3889742385651,0.046863426627146154,2025-12-19
0.024657534246575342,710.0,684.3889742385651,0.048597185252337353,2025-12-19
